synset,pos,name,src
03579699-n,n,interlayer,eng30
12432808-n,n,onion_plant,eng30
02836900-n,n,big_blue,eng30
06628663-n,n,spiritual_bouquet,eng30
12967504-n,n,family_helotiaceae,eng30
07547674-n,n,despising,eng30
05567604-n,n,middle_finger,eng30
03272940-n,n,electric_mixer,eng30
14269319-n,n,hypercholesterolemia,eng30
08294581-n,n,popular_front,eng30
05551711-n,n,pectoral_muscle,eng30
09711009-n,n,ionian,eng30
08160947-n,n,ionian,eng30
01880937-n,n,phalangeridae,eng30
13377899-n,n,inland_bill,eng30
14709706-n,n,spirits_of_wine,eng30
11043980-n,n,hepburn,eng30
09995829-n,n,deipnosophist,eng30
10809857-n,n,marcus_vipsanius_agrippa,eng30
08567235-n,n,environs,eng30
08539457-n,n,environs,eng30
02432291-n,n,white-tailed_deer,eng30
03642806-n,n,laptop_computer,eng30
12197211-n,n,cola,eng30
07927931-n,n,cola,eng30
12393269-n,n,boehmeria_nivea,eng30
05443211-n,n,xy,eng30
01581166-n,n,whisker_jack,eng30
01634522-n,n,necturus_maculosus,eng30
09170294-n,n,kalahari_desert,eng30
03136254-n,n,cross_bit,eng30
00380083-n,n,commixture,eng30
08240633-n,n,inner_circle,eng30
05952367-n,n,suffragism,eng30
10176475-n,n,hipster,eng30
08366753-n,n,economic_system,eng30
14364566-n,n,callus,eng30
14363785-n,n,callus,eng30
13088688-n,n,callus,eng30
08978667-n,n,asuncion,eng30
15127165-n,n,permian,eng30
08801678-n,n,italia,eng30
02662993-n,n,brill,eng30
01669068-n,n,genus_terrapene,eng30
02270473-n,n,genus_lepisma,eng30
14321953-n,n,skin_rash,eng30
09512692-n,n,nephthys,eng30
06726158-n,n,proclamation,eng30
01266491-n,n,proclamation,eng30
07462547-n,n,stake_race,eng30
07045637-n,n,ostinato,eng30
00870101-n,n,recalculation,eng30
01400391-n,n,yellow-green_algae,eng30
12158798-n,n,squash_vine,eng30
00114095-n,n,jostle,eng30
04383015-n,n,tachymeter,eng30
01426314-n,n,sarcosporidian,eng30
11092126-n,n,joseph,eng30
11091863-n,n,joseph,eng30
11091706-n,n,joseph,eng30
10989099-n,n,gamow,eng30
10906822-n,n,"k'ung_futzu",eng30
11241455-n,n,st._polycarp,eng30
12397864-n,n,hops,eng30
08128837-n,n,exec,eng30
09778392-n,n,agent_provocateur,eng30
12277334-n,n,quercus_prinoides,eng30
13547677-n,n,reducing,eng30
13547513-n,n,reducing,eng30
07568502-n,n,rolled_oats,eng30
10942144-n,n,john_l._h._down,eng30
05372924-n,n,lingual_vein,eng30
12955191-n,n,genus_schizaea,eng30
02407959-n,n,old_world_buffalo,eng30
06367571-n,n,nonfiction,eng30
03829085-n,n,nontricyclic,eng30
14379130-n,n,mental_health,eng30
05484198-n,n,hypophyseal_stalk,eng30
02354470-n,n,genus_thomomys,eng30
12769663-n,n,staphylea,eng30
07614004-n,n,charlotte_russe,eng30
07018824-n,n,satyr_play,eng30
06679726-n,n,collotype_printing,eng30
14873344-n,n,formic_acid,eng30
13915113-n,n,tetrahedron,eng30
05522456-n,n,labium,eng30
07181546-n,n,dissension,eng30
13982357-n,n,dissension,eng30
14630363-n,n,barium_hydroxide,eng30
06489190-n,n,class_list,eng30
04126373-n,n,safety_lock,eng30
04126244-n,n,safety_lock,eng30
08766571-n,n,lund,eng30
12089320-n,n,dioscorea_paniculata,eng30
11217312-n,n,jose_ortega_y_gasset,eng30
00702659-n,n,reciprocal_inhibition,eng30
04968749-n,n,jade_green,eng30
11129286-n,n,vicomte_ferdinand_marie_de_lesseps,eng30
10713254-n,n,t-man,eng30
10421753-n,n,pharmaceutical_chemist,eng30
02009620-n,n,genus_casmerodius,eng30
08989697-n,n,french_oceania,eng30
05667086-n,n,technicolor,eng30
04132985-n,n,samovar,eng30
11880032-n,n,rapeseed_oil,eng30
11238906-n,n,planck,eng30
02274516-n,n,nymphalidae,eng30
03232815-n,n,drainplug,eng30
10814953-n,n,allen_stewart_konigsberg,eng30
09300030-n,n,gulf_of_thailand,eng30
03909516-n,n,pendulum_watch,eng30
09860940-n,n,blubberer,eng30
13366137-n,n,amenities,eng30
07232275-n,n,gantlet,eng30
03429771-n,n,gantlet,eng30
03429682-n,n,gantlet,eng30
03415868-n,n,gantlet,eng30
01164063-n,n,gantlet,eng30
07187996-n,n,begging,eng30
07852532-n,n,bavarian_blue,eng30
11227400-n,n,pavlova,eng30
07612137-n,n,pavlova,eng30
10792178-n,n,fuss-budget,eng30
07458099-n,n,cliffhanger,eng30
06621681-n,n,cliffhanger,eng30
13774115-n,n,mite,eng30
01779629-n,n,mite,eng30
11962108-n,n,genus_echinacea,eng30
02238113-n,n,lygus,eng30
09322454-n,n,jupiter,eng30
09573966-n,n,jupiter,eng30
12269241-n,n,live_oak,eng30
01809752-n,n,hoactzin,eng30
01709484-n,n,apatosaur,eng30
14405225-n,n,elation,eng30
07527656-n,n,elation,eng30
09452395-n,n,swampland,eng30
13893310-n,n,magnetic_variation,eng30
05703070-n,n,clock-watching,eng30
13588233-n,n,bulk_modulus,eng30
11081353-n,n,"jeanne_d'arc",eng30
03232676-n,n,draining_board,eng30
14335761-n,n,ureterorenal_reflux,eng30
12857204-n,n,micromeria_douglasii,eng30
12366313-n,n,clusia_rosea,eng30
03869389-n,n,oxytetracycline,eng30
12104501-n,n,pasturage,eng30
07801091-n,n,pasturage,eng30
13252395-n,n,hacienda,eng30
03474352-n,n,hacienda,eng30
02441723-n,n,genus_mustela,eng30
10710171-n,n,thurifer,eng30
00831191-n,n,external_respiration,eng30
03191776-n,n,dicky-seat,eng30
09296804-n,n,gulf_of_aden,eng30
02335231-n,n,beaver_rat,eng30
03329058-n,n,feosol,eng30
02673637-n,n,ace_inhibitor,eng30
09976917-n,n,spook,eng30
05898171-n,n,spook,eng30
10305391-n,n,media_guru,eng30
02276355-n,n,vanessa_atalanta,eng30
03888998-n,n,parallel_port,eng30
03833750-n,n,n-type_semiconductor,eng30
14653596-n,n,samarium,eng30
12030479-n,n,genus_actinomeris,eng30
05119714-n,n,excess,eng30
05118437-n,n,excess,eng30
14452294-n,n,excess,eng30
01073655-n,n,excess,eng30
09810983-n,n,art_dealer,eng30
06448868-n,n,rheims-douay_version,eng30
10461169-n,n,powderer,eng30
02862770-n,n,human_remains_pouch,eng30
07244822-n,n,televangelism,eng30
08023374-n,n,hizbollah,eng30
14313440-n,n,slough,eng30
09438313-n,n,slough,eng30
09438212-n,n,slough,eng30
09438055-n,n,slough,eng30
07061334-n,n,gospel_singing,eng30
01707294-n,n,trachodon,eng30
04677952-n,n,semblance,eng30
05939636-n,n,semblance,eng30
03668642-n,n,semblance,eng30
12587686-n,n,genus_cocos,eng30
00641222-n,n,electron_spin_resonance,eng30
06491561-n,n,hit_list,eng30
07154243-n,n,truism,eng30
12016434-n,n,solidago_bicolor,eng30
12541805-n,n,narrow-leaved_everlasting_pea,eng30
08113073-n,n,business_community,eng30
02847942-n,n,black_lotion,eng30
04818700-n,n,gaudiness,eng30
04690769-n,n,gaudiness,eng30
10832085-n,n,stanley_baldwin,eng30
15222369-n,n,june_23,eng30
05165028-n,n,inadvisability,eng30
08231499-n,n,majors,eng30
03344393-n,n,fireboat,eng30
04969242-n,n,sky-blue,eng30
00199130-n,n,change_of_state,eng30
04243251-n,n,"slopseller's_shop",eng30
09543748-n,n,hob,eng30
09540739-n,n,hob,eng30
03523398-n,n,hob,eng30
03523288-n,n,hob,eng30
10915862-n,n,burrill_bernard_crohn,eng30
01377906-n,n,myxobacterales,eng30
08109772-n,n,monotype,eng30
03784139-n,n,monotype,eng30
07777735-n,n,largemouth_bass,eng30
02565324-n,n,largemouth_bass,eng30
13414310-n,n,chequebook,eng30
10488309-n,n,psychic,eng30
07473441-n,n,triumph,eng30
07528097-n,n,triumph,eng30
07388987-n,n,tap,eng30
07410021-n,n,tap,eng30
04559451-n,n,tap,eng30
04391276-n,n,tap,eng30
04391158-n,n,tap,eng30
04390977-n,n,tap,eng30
00654400-n,n,tap,eng30
00125436-n,n,tap,eng30
02474282-n,n,javanthropus,eng30
02571810-n,n,catalufa,eng30
10533983-n,n,yeller,eng30
14076270-n,n,kawasaki_disease,eng30
01044983-n,n,grammatolatry,eng30
04010057-n,n,"sailor's_breastplate",eng30
12433769-n,n,allium_cernuum,eng30
14198829-n,n,hypervitaminosis,eng30
11184927-n,n,vyacheslav_mikhailovich_molotov,eng30
07391079-n,n,rat-a-tat-tat,eng30
04005090-n,n,print_shop,eng30
03789171-n,n,motion-picture_camera,eng30
03556281-n,n,isobutylphenyl_propionic_acid,eng30
07549716-n,n,envy,eng30
00758335-n,n,envy,eng30
09264021-n,n,deimos,eng30
14068177-n,n,insulin_reaction,eng30
02803129-n,n,low_relief,eng30
05350453-n,n,lumbar_artery,eng30
10293590-n,n,marquise,eng30
03723153-n,n,marquise,eng30
11798270-n,n,bristly_sarsparilla,eng30
15135434-n,n,nonce,eng30
10354754-n,n,neurosurgeon,eng30
11093325-n,n,juan_carlos,eng30
04540255-n,n,volleyball_net,eng30
09927305-n,n,dry_cleaner,eng30
10576223-n,n,segregate,eng30
13178500-n,n,solanopteris,eng30
10863896-n,n,leonid_ilyich_brezhnev,eng30
14820933-n,n,construction_paper,eng30
01617443-n,n,gypaetus_barbatus,eng30
00497536-n,n,draw_poker,eng30
13610815-n,n,sabin,eng30
11277279-n,n,sabin,eng30
02855560-n,n,blowpipe,eng30
02855253-n,n,blowpipe,eng30
11355669-n,n,wulfila,eng30
14731799-n,n,serum_albumin,eng30
15006012-n,n,roughcast,eng30
04112921-n,n,roughcast,eng30
01943899-n,n,conch,eng30
10671898-n,n,succourer,eng30
12323820-n,n,genus_combretum,eng30
10564098-n,n,screen_actor,eng30
14395955-n,n,presenile_dementia,eng30
05771836-n,n,mental_synthesis,eng30
13647888-n,n,sthene,eng30
12905655-n,n,genus_lycopersicum,eng30
10716005-n,n,tormentor,eng30
04456276-n,n,tormentor,eng30
10388924-n,n,owner,eng30
10389398-n,n,owner,eng30
13267014-n,n,subsidy,eng30
11954345-n,n,field_thistle,eng30
00856342-n,n,promiscuousness,eng30
10036135-n,n,drug_baron,eng30
05699434-n,n,hesitation,eng30
04645943-n,n,hesitation,eng30
01063350-n,n,hesitation,eng30
09575701-n,n,epimetheus,eng30
06321702-n,n,adjective,eng30
06319029-n,n,adjective,eng30
10780185-n,n,wicket-keeper,eng30
02626590-n,n,genus_thunnus,eng30
15135536-n,n,biological_clock,eng30
00511676-n,n,bacchanalia,eng30
00511212-n,n,bacchanalia,eng30
03632963-n,n,"ladies'_room",eng30
14296579-n,n,herniated_disc,eng30
09558177-n,n,dido,eng30
01599741-n,n,migrant_shrike,eng30
05489394-n,n,language_zone,eng30
01371928-n,n,wtv,eng30
02820210-n,n,bed_clothing,eng30
11007181-n,n,jane_goodall,eng30
12512674-n,n,australian_chestnut,eng30
14446878-n,n,inconvenience,eng30
04711435-n,n,inconvenience,eng30
04722715-n,n,inconvenience,eng30
01046441-n,n,zoolatry,eng30
09099098-n,n,plymouth_rock,eng30
01790304-n,n,plymouth_rock,eng30
12573474-n,n,thermopsis_macrophylla,eng30
13724582-n,n,kilogram,eng30
00808614-n,n,hold-down,eng30
03262349-n,n,earring,eng30
04436542-n,n,timbrel,eng30
14956661-n,n,ooze,eng30
07432119-n,n,ooze,eng30
01631175-n,n,pacific_newt,eng30
05547149-n,n,frill,eng30
05546997-n,n,frill,eng30
03397532-n,n,frill,eng30
03376438-n,n,frill,eng30
04589325-n,n,window_box,eng30
02545153-n,n,saratoga,eng30
01294127-n,n,saratoga,eng30
05758548-n,n,woodcraft,eng30
05644423-n,n,woodcraft,eng30
01834702-n,n,caprimulgiformes,eng30
11340824-n,n,virgil_thomson,eng30
14591091-n,n,suspension,eng30
15271008-n,n,suspension,eng30
14010636-n,n,suspension,eng30
07368256-n,n,suspension,eng30
04366116-n,n,suspension,eng30
01017701-n,n,suspension,eng30
00209132-n,n,suspension,eng30
10309614-n,n,soldier_of_fortune,eng30
00848466-n,n,adultery,eng30
05340599-n,n,arteria_centralis_retinae,eng30
14896018-n,n,anime,eng30
14766265-n,n,anime,eng30
03436182-n,n,ghetto_blaster,eng30
01140193-n,n,accreditation,eng30
05043973-n,n,exposure,eng30
00157463-n,n,exposure,eng30
07215377-n,n,exposure,eng30
05934123-n,n,exposure,eng30
14543931-n,n,exposure,eng30
13640206-n,n,exposure,eng30
03925226-n,n,exposure,eng30
00907340-n,n,exposure,eng30
00522537-n,n,exposure,eng30
00204659-n,n,exposure,eng30
10149527-n,n,warranter,eng30
12096089-n,n,lysimachia_quadrifolia,eng30
01275934-n,n,chino-japanese_war,eng30
11366109-n,n,gore_vidal,eng30
13032923-n,n,verpa,eng30
12491017-n,n,orchid_tree,eng30
08664443-n,n,topographic_point,eng30
01936671-n,n,lobworm,eng30
13693641-n,n,cypriot_pound,eng30
13737089-n,n,moiety,eng30
08372299-n,n,moiety,eng30
01592084-n,n,chickadee,eng30
08391953-n,n,territorial_army,eng30
00536120-n,n,two-step,eng30
11334003-n,n,teach,eng30
02830596-n,n,benzedrine,eng30
05193338-n,n,vividness,eng30
04975340-n,n,vividness,eng30
05556595-n,n,navel,eng30
08524404-n,n,navel,eng30
09805475-n,n,architect,eng30
05647643-n,n,inaptitude,eng30
07055805-n,n,jig,eng30
03598515-n,n,jig,eng30
03598385-n,n,jig,eng30
00538991-n,n,jig,eng30
01665541-n,n,dermochelys_coriacea,eng30
02023664-n,n,charadrius,eng30
02396427-n,n,boar,eng30
02396014-n,n,boar,eng30
12078954-n,n,pleione,eng30
03246933-n,n,drop-leaf_table,eng30
03273913-n,n,fridge,eng30
07112942-n,n,consonant_system,eng30
10954966-n,n,ike,eng30
06357632-n,n,cyclic_redundancy_check,eng30
02203152-n,n,midge,eng30
11117451-n,n,marquis_de_laplace,eng30
05691689-n,n,iron_curtain,eng30
11865574-n,n,bay-leaved_caper,eng30
02425532-n,n,boselaphus_tragocamelus,eng30
14279099-n,n,gummosis,eng30
14278953-n,n,gummosis,eng30
