synset,resource,xref,misc,confidence
01900837-n,sumo,BodyPart,"⊂",
01900985-n,sumo,BodyPart,"⊂",
01901091-n,sumo,BodyPart,"⊂",
01901213-n,sumo,BodyPart,"⊂",
01901348-n,sumo,BodyPart,"⊂",
01901492-n,sumo,BodyPart,"⊂",
01901610-n,sumo,BodyPart,"⊂",
01901694-n,sumo,BodyPart,"⊂",
01901828-n,sumo,BodyPart,"⊂",
01902022-n,sumo,BodyPart,"⊂",
01902132-n,sumo,BodyPart,"⊂",
01902274-n,sumo,BodyPart,"⊂",
01902368-n,sumo,BodyPart,"⊂",
01902568-n,sumo,BodyPart,"⊂",
01902750-n,sumo,BodyPart,"⊂",
01902877-n,sumo,BodyPart,"⊂",
01903110-n,sumo,BodyPart,"⊂",
01903234-n,sumo,BodyPart,"⊂",
01903346-n,sumo,BodyPart,"⊂",
01903498-n,sumo,BodyPart,"⊂",
01903631-n,sumo,BodyPart,"⊂",
01903756-n,sumo,BodyPart,"⊂",
01904029-n,sumo,BodyPart,"⊂",
01904182-n,sumo,BodyPart,"⊂",
01904461-n,sumo,Device,"⊂",
01904583-n,sumo,Device,"⊂",
01904699-n,sumo,BodyPart,"⊂",
01904806-n,sumo,BodyPart,"⊂",
01904886-n,sumo,BodyPart,"⊂",
01904965-n,sumo,BodyPart,"⊂",
01905121-n,sumo,BodyPart,"⊂",
01905321-n,sumo,BodyPart,"⊂",
01905416-n,sumo,BodyPart,"⊂",
01905543-n,sumo,BodyPart,"⊂",
01905661-n,sumo,Invertebrate,=,
01906178-n,sumo,Invertebrate,"⊂",
01906328-n,sumo,Invertebrate,"⊂",
01906552-n,sumo,Invertebrate,"⊂",
01906749-n,sumo,Invertebrate,"⊂",
01907034-n,sumo,Invertebrate,"⊂",
01907149-n,sumo,Microorganism,"⊂",
01907287-n,sumo,Cell,"⊂",
01907495-n,sumo,Invertebrate,"⊂",
01907738-n,sumo,Invertebrate,"⊂",
01907902-n,sumo,Invertebrate,"⊂",
01908042-n,sumo,Invertebrate,"⊂",
01908287-n,sumo,Invertebrate,"⊂",
01908415-n,sumo,Invertebrate,"⊂",
01908703-n,sumo,Invertebrate,"⊂",
01908958-n,sumo,Animal,"⊂",
01909111-n,sumo,Invertebrate,"⊂",
01909422-n,sumo,Invertebrate,"⊂",
01909788-n,sumo,Invertebrate,"⊂",
01909906-n,sumo,Invertebrate,"⊂",
01910252-n,sumo,Invertebrate,"⊂",
01910529-n,sumo,Invertebrate,"⊂",
01910747-n,sumo,Invertebrate,"⊂",
01910998-n,sumo,Invertebrate,"⊂",
01911063-n,sumo,Invertebrate,"⊂",
01911271-n,sumo,Invertebrate,"⊂",
01911403-n,sumo,Invertebrate,"⊂",
01911511-n,sumo,Invertebrate,"⊂",
01911839-n,sumo,Invertebrate,"⊂",
01912050-n,sumo,Invertebrate,"⊂",
01912152-n,sumo,Invertebrate,"⊂",
01912272-n,sumo,Invertebrate,"⊂",
01912454-n,sumo,Invertebrate,"⊂",
01912688-n,sumo,Invertebrate,"⊂",
01912809-n,sumo,Invertebrate,"⊂",
01913035-n,sumo,Invertebrate,"⊂",
01913166-n,sumo,Invertebrate,"⊂",
01913346-n,sumo,Invertebrate,"⊂",
01913440-n,sumo,Invertebrate,"⊂",
01913533-n,sumo,Invertebrate,"⊂",
01913691-n,sumo,Invertebrate,"⊂",
01913838-n,sumo,Invertebrate,"⊂",
01914163-n,sumo,Invertebrate,"⊂",
01914415-n,sumo,Invertebrate,"⊂",
01914609-n,sumo,Invertebrate,"⊂",
01914830-n,sumo,Invertebrate,"⊂",
01914961-n,sumo,Invertebrate,"⊂",
01915093-n,sumo,Invertebrate,"⊂",
01915290-n,sumo,Invertebrate,"⊂",
01915414-n,sumo,Invertebrate,"⊂",
01915541-n,sumo,Invertebrate,"⊂",
01915700-n,sumo,Invertebrate,"⊂",
01915811-n,sumo,Invertebrate,"⊂",
01916010-n,sumo,Invertebrate,"⊂",
01916187-n,sumo,Invertebrate,"⊂",
01916388-n,sumo,Invertebrate,"⊂",
01916481-n,sumo,Invertebrate,"⊂",
01916588-n,sumo,Invertebrate,"⊂",
01916738-n,sumo,Invertebrate,"⊂",
01916925-n,sumo,Invertebrate,"⊂",
01917167-n,sumo,Invertebrate,"⊂",
01917289-n,sumo,Invertebrate,"⊂",
01917434-n,sumo,Invertebrate,"⊂",
01917611-n,sumo,Invertebrate,"⊂",
01917751-n,sumo,Invertebrate,"⊂",
01917882-n,sumo,Invertebrate,"⊂",
01918010-n,sumo,Invertebrate,"⊂",
01918152-n,sumo,Invertebrate,"⊂",
01918310-n,sumo,Invertebrate,"⊂",
01918585-n,sumo,Invertebrate,"⊂",
01918744-n,sumo,Invertebrate,"⊂",
01919099-n,sumo,Invertebrate,"⊂",
01919258-n,sumo,Invertebrate,"⊂",
01919385-n,sumo,Invertebrate,"⊂",
01919504-n,sumo,Invertebrate,"⊂",
01919714-n,sumo,Invertebrate,"⊂",
01919912-n,sumo,Invertebrate,"⊂",
01920051-n,sumo,Invertebrate,"⊂",
01920178-n,sumo,Invertebrate,"⊂",
01920302-n,sumo,Invertebrate,"⊂",
01920438-n,sumo,Invertebrate,"⊂",
01920582-n,sumo,Invertebrate,"⊂",
01920735-n,sumo,Invertebrate,"⊂",
01920939-n,sumo,Invertebrate,"⊂",
01921059-n,sumo,Invertebrate,"⊂",
01921216-n,sumo,Invertebrate,"⊂",
01921440-n,sumo,Invertebrate,"⊂",
01921559-n,sumo,Worm,=,
01921887-n,sumo,Worm,=,
01922303-n,sumo,Worm,=,
01922717-n,sumo,Worm,"⊂",
01922948-n,sumo,Larval,"⊂",
01923025-n,sumo,Worm,"⊂",
01923171-n,sumo,Worm,"⊂",
01923404-n,sumo,Worm,"⊂",
01923637-n,sumo,Worm,"⊂",
01923890-n,sumo,Worm,"⊂",
01924151-n,sumo,Worm,"⊂",
01924309-n,sumo,Worm,"⊂",
01924416-n,sumo,Worm,"⊂",
01924590-n,sumo,Worm,"⊂",
01924800-n,sumo,Larval,"⊂",
01924916-n,sumo,Worm,"⊂",
01925133-n,sumo,Worm,"⊂",
01925270-n,sumo,Worm,"⊂",
01925469-n,sumo,Worm,"⊂",
01925695-n,sumo,Worm,"⊂",
01925916-n,sumo,Larval,"⊂",
01926090-n,sumo,Worm,"⊂",
01926247-n,sumo,Worm,"⊂",
01926379-n,sumo,Worm,"⊂",
01926549-n,sumo,Worm,"⊂",
01926689-n,sumo,Worm,"⊂",
01926840-n,sumo,Worm,"⊂",
01926988-n,sumo,Worm,"⊂",
01927159-n,sumo,Worm,"⊂",
01927301-n,sumo,Worm,"⊂",
01927456-n,sumo,Worm,"⊂",
01927665-n,sumo,Worm,"⊂",
01927816-n,sumo,Worm,"⊂",
01927928-n,sumo,Worm,"⊂",
01928073-n,sumo,Worm,"⊂",
01928215-n,sumo,Worm,"⊂",
01928360-n,sumo,Worm,"⊂",
01928517-n,sumo,Worm,"⊂",
01928737-n,sumo,Worm,"⊂",
01928865-n,sumo,Worm,"⊂",
01929047-n,sumo,Invertebrate,"⊂",
01929186-n,sumo,Invertebrate,"⊂",
01929396-n,sumo,Worm,"⊂",
01929788-n,sumo,Worm,"⊂",
01929951-n,sumo,Worm,"⊂",
01930112-n,sumo,Worm,"⊂",
01930485-n,sumo,Worm,"⊂",
01930672-n,sumo,Worm,"⊂",
01930852-n,sumo,Worm,"⊂",
01930995-n,sumo,Worm,"⊂",
01931140-n,sumo,Worm,"⊂",
01931277-n,sumo,Worm,"⊂",
01931398-n,sumo,Worm,"⊂",
01931520-n,sumo,Worm,"⊂",
01931714-n,sumo,Worm,"⊂",
01931845-n,sumo,Worm,"⊂",
01931984-n,sumo,Worm,"⊂",
01932151-n,sumo,Worm,"⊂",
01932358-n,sumo,Worm,"⊂",
01932495-n,sumo,Worm,"⊂",
01932643-n,sumo,Worm,"⊂",
01932800-n,sumo,Worm,"⊂",
01932936-n,sumo,Worm,"⊂",
01933151-n,sumo,Worm,"⊂",
01933342-n,sumo,Worm,"⊂",
01933478-n,sumo,Worm,"⊂",
01933686-n,sumo,Worm,"⊂",
01933834-n,sumo,Worm,"⊂",
01933988-n,sumo,Worm,"⊂",
01934207-n,sumo,Worm,"⊂",
01934440-n,sumo,Worm,"⊂",
01934705-n,sumo,Worm,"⊂",
01934844-n,sumo,Worm,"⊂",
01935012-n,sumo,Worm,"⊂",
01935176-n,sumo,Worm,"⊂",
01935395-n,sumo,Worm,"⊂",
01935743-n,sumo,Worm,"⊂",
01935997-n,sumo,Worm,"⊂",
01936219-n,sumo,Worm,"⊂",
01936391-n,sumo,Worm,"⊂",
01936671-n,sumo,Worm,"⊂",
01936858-n,sumo,Worm,"⊂",
01937015-n,sumo,Worm,"⊂",
01937234-n,sumo,Worm,"⊂",
01937422-n,sumo,Worm,"⊂",
01937579-n,sumo,Worm,"⊂",
01937719-n,sumo,Worm,"⊂",
01937909-n,sumo,Worm,"⊂",
01938155-n,sumo,Worm,"⊂",
01938312-n,sumo,Worm,"⊂",
01938454-n,sumo,Worm,"⊂",
01938618-n,sumo,Worm,"⊂",
01938735-n,sumo,Worm,"⊂",
01938850-n,sumo,Mollusk,=,
01939598-n,sumo,Mollusk,=,
01940488-n,sumo,Mollusk,=,
01940736-n,sumo,Mollusk,=,
01941030-n,sumo,Mollusk,"⊂",
01941223-n,sumo,Mollusk,"⊂",
01941340-n,sumo,Mollusk,"⊂",
01941538-n,sumo,Lip,=,
01941670-n,sumo,Mollusk,"⊂",
01942177-n,sumo,Mollusk,"⊂",
01942601-n,sumo,Mollusk,"⊂",
01942724-n,sumo,Mollusk,"⊂",
01942869-n,sumo,Mollusk,"⊂",
01943087-n,sumo,Mollusk,"⊂",
01943213-n,sumo,Mollusk,"⊂",
01943367-n,sumo,Mollusk,"⊂",
01943541-n,sumo,Mollusk,"⊂",
01943754-n,sumo,Mollusk,"⊂",
01943899-n,sumo,Mollusk,"⊂",
01944118-n,sumo,Mollusk,"⊂",
01944217-n,sumo,Mollusk,"⊂",
01944390-n,sumo,Gastropod,"⊂",
01944617-n,sumo,Mollusk,"⊂",
01944812-n,sumo,Mollusk,"⊂",
01944955-n,sumo,Mollusk,"⊂",
01945143-n,sumo,Mollusk,"⊂",
01945340-n,sumo,Mollusk,"⊂",
01945443-n,sumo,Mollusk,"⊂",
01945580-n,sumo,Mollusk,"⊂",
01945685-n,sumo,Mollusk,"⊂",
01945845-n,sumo,Mollusk,"⊂",
01946118-n,sumo,Mollusk,"⊂",
01946277-n,sumo,Mollusk,"⊂",
01946487-n,sumo,Mollusk,"⊂",
01946630-n,sumo,Mollusk,"⊂",
01946827-n,sumo,Mollusk,"⊂",
01947020-n,sumo,Mollusk,"⊂",
01947139-n,sumo,Mollusk,"⊂",
01947275-n,sumo,Mollusk,"⊂",
01947396-n,sumo,Mollusk,"⊂",
01947613-n,sumo,Mollusk,"⊂",
01947735-n,sumo,Mollusk,"⊂",
01947874-n,sumo,Mollusk,"⊂",
01947997-n,sumo,Mollusk,"⊂",
01948154-n,sumo,Mollusk,"⊂",
01948284-n,sumo,Mollusk,"⊂",
01948446-n,sumo,Mollusk,"⊂",
01948573-n,sumo,Mollusk,"⊂",
01948788-n,sumo,Mollusk,"⊂",
01948917-n,sumo,Mollusk,"⊂",
01949085-n,sumo,Mollusk,"⊂",
01949195-n,sumo,Mollusk,"⊂",
01949330-n,sumo,Mollusk,"⊂",
01949499-n,sumo,Mollusk,"⊂",
01949684-n,sumo,Mollusk,"⊂",
01949817-n,sumo,Mollusk,"⊂",
01949973-n,sumo,Mollusk,"⊂",
01950195-n,sumo,Mollusk,"⊂",
01950457-n,sumo,Mollusk,"⊂",
01950731-n,sumo,Mollusk,"⊂",
01950952-n,sumo,Mollusk,"⊂",
01951107-n,sumo,Mollusk,"⊂",
01951274-n,sumo,Mollusk,"⊂",
01951472-n,sumo,Mollusk,"⊂",
01951613-n,sumo,Mollusk,"⊂",
01951721-n,sumo,Mollusk,"⊂",
01951845-n,sumo,Mollusk,"⊂",
01952029-n,sumo,Mollusk,"⊂",
01952162-n,sumo,Mollusk,"⊂",
01952429-n,sumo,Mollusk,"⊂",
01952557-n,sumo,Mollusk,"⊂",
01952712-n,sumo,Mollusk,"⊂",
01952812-n,sumo,Mollusk,"⊂",
01953032-n,sumo,Mollusk,"⊂",
01953197-n,sumo,Mollusk,"⊂",
01953361-n,sumo,Mollusk,"⊂",
01953594-n,sumo,Mollusk,"⊂",
01953762-n,sumo,Mollusk,"⊂",
01953877-n,sumo,Organ,"⊂",
01954004-n,sumo,Organ,"⊂",
01954202-n,sumo,Mollusk,"⊂",
01954340-n,sumo,Mollusk,"⊂",
01954516-n,sumo,Mollusk,"⊂",
01954729-n,sumo,Mollusk,"⊂",
01954962-n,sumo,Mollusk,"⊂",
01955084-n,sumo,Mollusk,"⊂",
01955318-n,sumo,BodyPart,"⊂",
01955463-n,sumo,Mollusk,"⊂",
01955933-n,sumo,Mollusk,"⊂",
01956344-n,sumo,NonFullyFormed,"⊂",
01956481-n,sumo,Mollusk,"⊂",
01956764-n,sumo,BodyPart,"⊂",
01956849-n,sumo,BodyPart,"⊂",
01956924-n,sumo,Mollusk,"⊂",
01957075-n,sumo,Mollusk,"⊂",
01957202-n,sumo,Mollusk,"⊂",
01957335-n,sumo,Mollusk,"⊂",
01957591-n,sumo,Mollusk,"⊂",
01957739-n,sumo,Mollusk,"⊂",
01957923-n,sumo,Mollusk,"⊂",
01958038-n,sumo,Mollusk,"⊂",
01958346-n,sumo,NonFullyFormed,"⊂",
01958435-n,sumo,NonFullyFormed,"⊂",
01958531-n,sumo,Mollusk,"⊂",
01958790-n,sumo,Mollusk,"⊂",
01958914-n,sumo,Mollusk,"⊂",
01959029-n,sumo,Mollusk,"⊂",
01959187-n,sumo,Mollusk,"⊂",
01959333-n,sumo,Mollusk,"⊂",
01959492-n,sumo,Mollusk,"⊂",
01959668-n,sumo,Mollusk,"⊂",
01959834-n,sumo,Mollusk,"⊂",
01959985-n,sumo,Mollusk,"⊂",
01960177-n,sumo,Mollusk,"⊂",
01960301-n,sumo,Mollusk,"⊂",
01960459-n,sumo,Mollusk,"⊂",
01960787-n,sumo,Mollusk,"⊂",
01960900-n,sumo,Mollusk,"⊂",
01961059-n,sumo,Mollusk,"⊂",
01961234-n,sumo,Mollusk,"⊂",
01961468-n,sumo,Mollusk,"⊂",
01961600-n,sumo,Mollusk,"⊂",
01961736-n,sumo,Mollusk,"⊂",
01961862-n,sumo,Mollusk,"⊂",
01961985-n,sumo,Mollusk,"⊂",
01962223-n,sumo,Mollusk,"⊂",
01962350-n,sumo,Mollusk,"⊂",
01962506-n,sumo,Mollusk,"⊂",
01962662-n,sumo,Mollusk,"⊂",
01962788-n,sumo,Mollusk,"⊂",
01963017-n,sumo,Mollusk,"⊂",
01963136-n,sumo,Mollusk,"⊂",
01963317-n,sumo,Mollusk,"⊂",
01963479-n,sumo,Mollusk,"⊂",
01963571-n,sumo,Mollusk,"⊂",
01963730-n,sumo,Mollusk,"⊂",
01963876-n,sumo,Mollusk,"⊂",
01964049-n,sumo,Mollusk,"⊂",
01964271-n,sumo,Mollusk,"⊂",
01964441-n,sumo,Mollusk,"⊂",
01964636-n,sumo,Mollusk,"⊂",
01964821-n,sumo,Mollusk,"⊂",
01964957-n,sumo,Mollusk,"⊂",
01965111-n,sumo,Mollusk,"⊂",
01965252-n,sumo,Mollusk,"⊂",
01965404-n,sumo,Mollusk,"⊂",
01965529-n,sumo,Mollusk,"⊂",
01965747-n,sumo,Mollusk,"⊂",
01965889-n,sumo,Mollusk,"⊂",
01966204-n,sumo,Mollusk,"⊂",
01966377-n,sumo,Mollusk,"⊂",
01966586-n,sumo,Mollusk,"⊂",
01966797-n,sumo,Mollusk,"⊂",
01966961-n,sumo,Mollusk,"⊂",
01967094-n,sumo,Mollusk,"⊂",
01967308-n,sumo,Mollusk,"⊂",
01967396-n,sumo,Mollusk,"⊂",
01967517-n,sumo,Mollusk,"⊂",
01967677-n,sumo,Mollusk,"⊂",
01967812-n,sumo,Mollusk,"⊂",
01967963-n,sumo,Mollusk,"⊂",
01968115-n,sumo,Mollusk,"⊂",
01968315-n,sumo,Mollusk,"⊂",
01968591-n,sumo,Mollusk,"⊂",
01968732-n,sumo,Mollusk,"⊂",
01968897-n,sumo,Mollusk,"⊂",
01969103-n,sumo,Mollusk,"⊂",
01969429-n,sumo,Mollusk,"⊂",
01969550-n,sumo,Mollusk,"⊂",
01969726-n,sumo,Mollusk,"⊂",
01969893-n,sumo,Mollusk,"⊂",
01970030-n,sumo,Mollusk,"⊂",
01970164-n,sumo,Mollusk,"⊂",
01970342-n,sumo,Mollusk,"⊂",
01970502-n,sumo,Mollusk,"⊂",
01970667-n,sumo,Mollusk,"⊂",
01970866-n,sumo,Mollusk,"⊂",
01971094-n,sumo,Mollusk,"⊂",
01971280-n,sumo,Mollusk,"⊂",
01971517-n,sumo,Mollusk,"⊂",
01971620-n,sumo,Mollusk,"⊂",
01971728-n,sumo,Mollusk,"⊂",
01971850-n,sumo,Mollusk,"⊂",
01972017-n,sumo,Mollusk,"⊂",
01972131-n,sumo,Mollusk,"⊂",
01972283-n,sumo,Mollusk,"⊂",
01972411-n,sumo,Mollusk,"⊂",
01972541-n,sumo,Mollusk,"⊂",
01972733-n,sumo,Mollusk,"⊂",
01972947-n,sumo,Mollusk,"⊂",
01973148-n,sumo,Mollusk,"⊂",
01973375-n,sumo,Mollusk,"⊂",
01973566-n,sumo,Mollusk,"⊂",
01973723-n,sumo,AnatomicalStructure,"⊂",
01974055-n,sumo,Organ,"⊂",
01974229-n,sumo,Organ,"⊂",
01974399-n,sumo,Crustacean,=,
01974773-n,sumo,Crustacean,=,
01975117-n,sumo,Gland,"⊂",
01975312-n,sumo,Crustacean,"⊂",
01975687-n,sumo,Crustacean,"⊂",
01975880-n,sumo,Crustacean,"⊂",
01976146-n,sumo,Crustacean,"⊂",
01976477-n,sumo,Crustacean,"⊂",
01976868-n,sumo,Crustacean,"⊂",
01976957-n,sumo,Crustacean,"⊂",
01977366-n,sumo,Crustacean,"⊂",
01977485-n,sumo,Crustacean,"⊂",
01977684-n,sumo,Crustacean,"⊂",
01977832-n,sumo,Crustacean,"⊂",
01978010-n,sumo,Crustacean,"⊂",
01978136-n,sumo,Crustacean,"⊂",
01978287-n,sumo,Crustacean,"⊂",
01978455-n,sumo,Crustacean,"⊂",
01978587-n,sumo,Crustacean,"⊂",
01978744-n,sumo,Crustacean,"⊂",
01978930-n,sumo,Crustacean,"⊂",
01979124-n,sumo,Crustacean,"⊂",
01979269-n,sumo,Crustacean,"⊂",
01979395-n,sumo,Crustacean,"⊂",
01979526-n,sumo,Crustacean,"⊂",
01979738-n,sumo,Crustacean,"⊂",
01979874-n,sumo,Crustacean,"⊂",
01980053-n,sumo,Crustacean,"⊂",
01980166-n,sumo,Crustacean,"⊂",
01980328-n,sumo,Crustacean,"⊂",
01980471-n,sumo,Crustacean,"⊂",
01980655-n,sumo,Crustacean,"⊂",
01980830-n,sumo,Crustacean,"⊂",
01980993-n,sumo,Crustacean,"⊂",
01981137-n,sumo,Crustacean,"⊂",
01981276-n,sumo,Crustacean,"⊂",
01981543-n,sumo,Crustacean,"⊂",
01981702-n,sumo,Crustacean,"⊂",
01981884-n,sumo,Crustacean,"⊂",
01982068-n,sumo,Crustacean,"⊂",
01982211-n,sumo,Crustacean,"⊂",
01982347-n,sumo,Crustacean,"⊂",
01982482-n,sumo,Crustacean,"⊂",
01982650-n,sumo,Crustacean,"⊂",
01982895-n,sumo,Crustacean,"⊂",
01983048-n,sumo,Crustacean,"⊂",
01983277-n,sumo,Crustacean,"⊂",
01983481-n,sumo,Crustacean,"⊂",
01983674-n,sumo,Crustacean,"⊂",
01983829-n,sumo,Crustacean,"⊂",
01983958-n,sumo,Crustacean,"⊂",
01984131-n,sumo,Crustacean,"⊂",
01984245-n,sumo,Crustacean,"⊂",
01984416-n,sumo,Crustacean,"⊂",
01984547-n,sumo,Crustacean,"⊂",
01984695-n,sumo,Crustacean,"⊂",
01984958-n,sumo,Crustacean,"⊂",
01985128-n,sumo,Crustacean,"⊂",
01985331-n,sumo,Crustacean,"⊂",
01985493-n,sumo,Crustacean,"⊂",
01985667-n,sumo,Crustacean,"⊂",
01985797-n,sumo,Crustacean,"⊂",
01985947-n,sumo,Crustacean,"⊂",
01986072-n,sumo,Crustacean,"⊂",
01986214-n,sumo,Crustacean,"⊂",
01986367-n,sumo,Crustacean,"⊂",
01986538-n,sumo,Crustacean,"⊂",
01986681-n,sumo,Crustacean,"⊂",
01986806-n,sumo,Crustacean,"⊂",
01987076-n,sumo,Crustacean,"⊂",
01987228-n,sumo,Crustacean,"⊂",
01987353-n,sumo,Crustacean,"⊂",
01987545-n,sumo,Crustacean,"⊂",
01987727-n,sumo,Crustacean,"⊂",
01987938-n,sumo,Crustacean,"⊂",
01988064-n,sumo,Crustacean,"⊂",
01988203-n,sumo,Crustacean,"⊂",
01988319-n,sumo,Crustacean,"⊂",
01988481-n,sumo,Crustacean,"⊂",
01988701-n,sumo,Crustacean,"⊂",
01988869-n,sumo,Crustacean,"⊂",
01988971-n,sumo,Crustacean,"⊂",
01989097-n,sumo,Crustacean,"⊂",
01989254-n,sumo,Crustacean,"⊂",
01989390-n,sumo,Crustacean,"⊂",
01989516-n,sumo,Crustacean,"⊂",
01989701-n,sumo,Crustacean,"⊂",
01989869-n,sumo,Crustacean,"⊂",
01990007-n,sumo,Crustacean,"⊂",
01990186-n,sumo,Crustacean,"⊂",
01990383-n,sumo,Crustacean,"⊂",
01990516-n,sumo,Crustacean,"⊂",
01990627-n,sumo,Crustacean,"⊂",
01990800-n,sumo,Crustacean,"⊂",
01991028-n,sumo,Crustacean,"⊂",
01991233-n,sumo,Crustacean,"⊂",
01991367-n,sumo,Crustacean,"⊂",
01991520-n,sumo,Crustacean,"⊂",
01991676-n,sumo,Crustacean,"⊂",
01991808-n,sumo,Crustacean,"⊂",
01991982-n,sumo,Crustacean,"⊂",
01992113-n,sumo,Crustacean,"⊂",
01992262-n,sumo,Crustacean,"⊂",
01992423-n,sumo,Crustacean,"⊂",
01992516-n,sumo,Crustacean,"⊂",
01992773-n,sumo,Crustacean,"⊂",
01992935-n,sumo,Crustacean,"⊂",
01993065-n,sumo,Crustacean,"⊂",
01993214-n,sumo,Crustacean,"⊂",
01993400-n,sumo,Crustacean,"⊂",
01993525-n,sumo,Crustacean,"⊂",
01993714-n,sumo,Crustacean,"⊂",
01993830-n,sumo,Crustacean,"⊂",
01993949-n,sumo,Crustacean,"⊂",
01994176-n,sumo,Crustacean,"⊂",
01994492-n,sumo,Crustacean,"⊂",
01994801-n,sumo,Crustacean,"⊂",
01994910-n,sumo,Crustacean,"⊂",
01995137-n,sumo,Crustacean,"⊂",
01995323-n,sumo,Crustacean,"⊂",
01995514-n,sumo,Crustacean,"⊂",
01995686-n,sumo,Crustacean,"⊂",
01995803-n,sumo,Crustacean,"⊂",
01995975-n,sumo,Crustacean,"⊂",
01996091-n,sumo,Crustacean,"⊂",
01996280-n,sumo,Crustacean,"⊂",
01996392-n,sumo,Crustacean,"⊂",
01996585-n,sumo,Crustacean,"⊂",
01996895-n,sumo,Crustacean,"⊂",
01997002-n,sumo,Crustacean,"⊂",
01997119-n,sumo,Crustacean,"⊂",
01997436-n,sumo,Crustacean,"⊂",
01997605-n,sumo,Crustacean,"⊂",
01997698-n,sumo,Crustacean,"⊂",
01997825-n,sumo,Crustacean,"⊂",
01998019-n,sumo,Crustacean,"⊂",
01998183-n,sumo,Crustacean,"⊂",
01998467-n,sumo,Crustacean,"⊂",
01998599-n,sumo,Crustacean,"⊂",
01998741-n,sumo,Crustacean,"⊂",
01998920-n,sumo,Crustacean,"⊂",
01999048-n,sumo,Crustacean,"⊂",
01999186-n,sumo,Crustacean,"⊂",
01999374-n,sumo,Invertebrate,"⊂",
01999767-n,sumo,Invertebrate,"⊂",
02000036-n,sumo,Invertebrate,"⊂",
02000195-n,sumo,Invertebrate,"⊂",
02000354-n,sumo,Invertebrate,"⊂",
02000502-n,sumo,Invertebrate,"⊂",
02000618-n,sumo,Invertebrate,"⊂",
02000764-n,sumo,Invertebrate,"⊂",
02000954-n,sumo,Bird,"⊂",
02001428-n,sumo,Bird,"⊂",
02001821-n,sumo,Bird,"⊂",
02002075-n,sumo,Bird,"⊂",
02002384-n,sumo,Bird,"⊂",
02002556-n,sumo,Bird,"⊂",
02002724-n,sumo,Bird,"⊂",
02002875-n,sumo,Bird,"⊂",
02003037-n,sumo,Bird,"⊂",
02003204-n,sumo,Bird,"⊂",
02003456-n,sumo,Bird,"⊂",
02003577-n,sumo,Bird,"⊂",
02003735-n,sumo,Bird,"⊂",
02003839-n,sumo,Bird,"⊂",
02003994-n,sumo,Bird,"⊂",
02004131-n,sumo,Bird,"⊂",
02004343-n,sumo,Bird,"⊂",
02004492-n,sumo,Bird,"⊂",
02004661-n,sumo,Bird,"⊂",
02004855-n,sumo,Bird,"⊂",
02005102-n,sumo,Bird,"⊂",
02005238-n,sumo,Bird,"⊂",
02005399-n,sumo,Bird,"⊂",
02005598-n,sumo,Bird,"⊂",
02005790-n,sumo,Bird,"⊂",
02005962-n,sumo,Bird,"⊂",
02006063-n,sumo,Bird,"⊂",
02006211-n,sumo,Bird,"⊂",
02006364-n,sumo,Bird,"⊂",
02006510-n,sumo,Bird,"⊂",
02006656-n,sumo,Bird,"⊂",
02006827-n,sumo,Bird,"⊂",
02006985-n,sumo,Bird,"⊂",
02007161-n,sumo,Bird,"⊂",
02007284-n,sumo,Bird,"⊂",
02007422-n,sumo,Bird,"⊂",
02007558-n,sumo,Bird,"⊂",
02007721-n,sumo,Bird,"⊂",
02008041-n,sumo,Bird,"⊂",
02008316-n,sumo,Bird,"⊂",
02008497-n,sumo,Bird,"⊂",
02008643-n,sumo,Bird,"⊂",
02008796-n,sumo,Bird,"⊂",
02009015-n,sumo,Bird,"⊂",
02009229-n,sumo,Bird,"⊂",
02009380-n,sumo,Bird,"⊂",
02009508-n,sumo,Bird,"⊂",
02009620-n,sumo,Bird,"⊂",
02009750-n,sumo,Bird,"⊂",
02009912-n,sumo,Bird,"⊂",
02010144-n,sumo,Bird,"⊂",
02010272-n,sumo,Bird,"⊂",
02010453-n,sumo,Bird,"⊂",
02010592-n,sumo,Bird,"⊂",
02010728-n,sumo,Bird,"⊂",
02010881-n,sumo,Bird,"⊂",
02011016-n,sumo,Bird,"⊂",
02011156-n,sumo,Bird,"⊂",
02011281-n,sumo,Bird,"⊂",
02011460-n,sumo,Bird,"⊂",
02011668-n,sumo,Bird,"⊂",
02011805-n,sumo,Bird,"⊂",
02011943-n,sumo,Bird,"⊂",
02012063-n,sumo,Bird,"⊂",
02012185-n,sumo,Bird,"⊂",
02012306-n,sumo,Bird,"⊂",
02012715-n,sumo,Bird,"⊂",
02012849-n,sumo,Bird,"⊂",
02013034-n,sumo,Bird,"⊂",
02013177-n,sumo,Bird,"⊂",
02013362-n,sumo,Bird,"⊂",
02013567-n,sumo,Bird,"⊂",
02013706-n,sumo,Bird,"⊂",
02013889-n,sumo,Bird,"⊂",
02014061-n,sumo,Bird,"⊂",
02014237-n,sumo,Bird,"⊂",
02014406-n,sumo,Bird,"⊂",
02014524-n,sumo,Bird,"⊂",
02014646-n,sumo,Bird,"⊂",
02014941-n,sumo,Bird,"⊂",
02015221-n,sumo,Bird,"⊂",
02015357-n,sumo,Bird,"⊂",
02015554-n,sumo,Bird,"⊂",
02015685-n,sumo,Bird,"⊂",
02015797-n,sumo,Bird,"⊂",
02015944-n,sumo,Bird,"⊂",
02016066-n,sumo,Bird,"⊂",
02016198-n,sumo,Bird,"⊂",
