synset,resource,xref,misc,confidence
00090917-a,sumo,Weapon,"⊂",
00091121-a,sumo,Weapon,"⊂",
00091311-a,sumo,Awake,"⊂",
00092551-a,sumo,StateOfMind,"⊂",
00092691-a,sumo,Procedure,"⊂",
00092933-a,sumo,Procedure,"⊂",
00093275-a,sumo,capability,"⊂",
00093810-a,sumo,capability,"⊂",
00094448-a,sumo,Living,=,
00095280-a,sumo,Dead,=,
00098529-a,sumo,BiologicalAttribute,"⊂",
00098736-a,sumo,BiologicalAttribute,"⊂",
00098933-a,sumo,capability,"⊂",
00099097-a,sumo,capability,"⊂",
00099290-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00099874-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00100634-a,sumo,Classifying,"⊂",
00101152-a,sumo,Classifying,"⊂",
00101331-a,sumo,BiologicalAttribute,"⊂",
00101452-a,sumo,BiologicalAttribute,"⊂",
00101609-a,sumo,TraitAttribute,"⊂",
00101800-a,sumo,TraitAttribute,"⊂",
00102201-a,sumo,LinguisticExpression,"⊂",
00103696-a,sumo,LinguisticExpression,"⊂",
00104051-a,sumo,TraitAttribute,"⊂",
00105023-a,sumo,PsychologicalAttribute,"⊂",
00105388-a,sumo,DiseaseOrSyndrome,"⊂",
00105746-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00106456-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00107648-a,sumo,BiologicalAttribute,"⊂",
00107984-a,sumo,BiologicalAttribute,"⊂",
00108263-a,sumo,PositionalAttribute,"⊂",
00108434-a,sumo,PositionalAttribute,"⊂",
00108698-a,sumo,DiseaseOrSyndrome,"⊂",
00109016-a,sumo,PositionalAttribute,"⊂",
00109133-a,sumo,PositionalAttribute,"⊂",
00109261-a,sumo,BodyMotion,"⊂",
00109382-a,sumo,BodyMotion,"⊂",
00109504-a,sumo,BodyMotion,"⊂",
00109633-a,sumo,Motion,"⊂",
00109782-a,sumo,Motion,"⊂",
00109966-a,sumo,DiseaseOrSyndrome,"⊂",
00110252-a,sumo,DiseaseOrSyndrome,"⊂",
00110497-a,sumo,Device,"⊂",
